                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9539,                 2.8647,                 1.2804,                 0.5753,                0.15246,                0.17075,                0.07837,                 1.7997,                 2.0431,                 1.3548,             0.00017426,             0.00017426,             0.00017426
                      2,                 1.8878,                 1.8872,                  1.271,                0.31031,                 0.1877,                0.16655,                 0.0739,                 1.7185,                   2.03,                 1.2665,             0.00033229,             0.00033229,             0.00033229
                      3,                 1.8593,                 1.7215,                 1.2696,                0.29273,                0.33685,                0.31137,                0.13787,                 1.7897,                 1.7665,                 1.3215,             0.00047296,             0.00047296,             0.00047296
                      4,                 1.8239,                 1.5962,                 1.2558,                0.33702,                0.35277,                0.33901,                0.14615,                 1.8141,                 1.7043,                 1.3164,             0.00044789,             0.00044789,             0.00044789
                      5,                 1.8064,                 1.4899,                 1.2461,                0.64975,                0.32026,                0.36975,                0.14889,                 1.8364,                 1.7161,                 1.3217,             0.00042185,             0.00042185,             0.00042185
                      6,                 1.7803,                  1.406,                 1.2345,                0.63024,                0.34292,                0.38611,                0.16456,                 1.7968,                 1.6046,                 1.3242,             0.00039581,             0.00039581,             0.00039581
                      7,                 1.7606,                 1.3254,                 1.2302,                0.42431,                 0.4271,                0.43741,                0.22311,                 1.7518,                 1.4423,                 1.2861,             0.00036978,             0.00036978,             0.00036978
                      8,                 1.7439,                 1.2922,                 1.2225,                0.46575,                0.34877,                0.39366,                0.19773,                 1.6807,                  1.516,                 1.2546,             0.00034374,             0.00034374,             0.00034374
                      9,                 1.7261,                 1.2247,                 1.2082,                0.44413,                0.36783,                0.42554,                 0.1982,                 1.7382,                 1.4365,                 1.2859,              0.0003177,              0.0003177,              0.0003177
                     10,                 1.7168,                 1.1943,                 1.2056,                0.41424,                0.38702,                0.37763,                0.17783,                 1.7516,                 1.4838,                 1.3075,             0.00029167,             0.00029167,             0.00029167
                     11,                 1.7151,                 1.1562,                 1.2092,                0.43531,                0.36437,                0.37994,                0.18404,                 1.7485,                 1.4248,                 1.2966,             0.00026563,             0.00026563,             0.00026563
                     12,                 1.6991,                 1.1044,                 1.2068,                0.47649,                0.37758,                0.41495,                 0.2006,                 1.7218,                 1.4161,                 1.2954,             0.00023959,             0.00023959,             0.00023959
                     13,                 1.6802,                 1.0746,                 1.1982,                0.50657,                0.38658,                0.46383,                0.23164,                  1.697,                   1.39,                 1.2712,             0.00021356,             0.00021356,             0.00021356
                     14,                 1.6743,                 1.0377,                 1.1901,                0.45679,                  0.416,                0.44207,                0.20879,                 1.7209,                 1.3659,                 1.2764,             0.00018752,             0.00018752,             0.00018752
                     15,                 1.6603,                 1.0109,                 1.1842,                0.50247,                0.34535,                0.44751,                0.21502,                 1.7035,                 1.3111,                 1.2818,             0.00016148,             0.00016148,             0.00016148
                     16,                 1.6541,                0.98431,                 1.1772,                0.49425,                0.38915,                0.43996,                0.20722,                 1.7003,                 1.3455,                 1.2782,             0.00013544,             0.00013544,             0.00013544
                     17,                 1.6322,                0.95715,                  1.166,                0.48215,                0.41056,                 0.4739,                0.22597,                 1.6982,                 1.2793,                 1.2714,             0.00010941,             0.00010941,             0.00010941
                     18,                 1.6255,                0.94376,                  1.168,                0.51518,                0.38689,                0.46516,                0.22402,                 1.6788,                 1.2889,                 1.2572,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                 1.6141,                0.93003,                 1.1639,                0.50512,                0.40085,                 0.4556,                0.22404,                 1.6756,                 1.2718,                 1.2501,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     20,                 1.5996,                 0.9092,                 1.1545,                0.53401,                0.39236,                0.46567,                0.22838,                 1.6662,                 1.2722,                 1.2492,             3.1297e-05,             3.1297e-05,             3.1297e-05
